index	sentence_bleu	source_am	reference_en	hypothesis_en
854	1.52	ብዙውን ጊዜ ከአልፕስ ዘይቤ የበረዶ ሸርተቴ ጉብኝት ወይም የተራራ ላይ ጉዞ ጋር የተገናኘ ቢሆንም እነዚህን አያካትትም፣ ሁለተኛው በጠባብ የመሬት አቀማመጥ ውስጥ የሚከናወኑ ሲሆኑ በጣም ጠንካራ የሆኑ የበረዶ ላይ መንሸራተቻ ረጃጅም እንጨቶች ወይም ፕላስቲኮችን እና ጫማዎች ያስፈልገዋል።	It is related to but usually not involving alpine style ski touring or mountaineering, the latter ones done in steep terrain and requiring much stiffer skis and boots.	Although often linked to a skiing tour or on a mountain tour, it does not include these; the second one is carried out in a tight landscape and the second is the strongest ice-sky swelling peaks and shoes need plates.
489	1.70	የቅንጦት ዋና መኣከል የመሆኑ ዝና በ400 ኤ።ዲ ላይ ጀምሮ እስከ 1100 ኤ።ዲ ድረስ ቆየ።	Its renown for being an epicenter of luxury began in about 400 A.D. and lasted up until about 1100 A.D.	The precipitation of the luxury was dated from 400 AD to 1100.
57	1.78	ክርክሩ የተነሳው በአውሎ ንፋስ ካትሪና ስለ በመመለስ እና ዳግም በመገንባት ላይ ነው፤ አንዳንድ የፋይናንስ ውይይቶች “የቡሽ ኒው ኦርሊንስ ውል” የሚል ቀልድ ተሰይመዋል።	The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled \"Bush's New Orleans Deal.\"	The argument is being under construction and rebuilding in Aleppe Windows Katri and the rebuilding of some financial discussions, some of the financial discussions, have been renovated by the 'Bush New Orleans' contract.
202	1.78	የሜክሲኮው አርሊ ቬላስከዝ በወንዶች የቁጭታ ሱፐር-ጂ አስራ አምስተኛ ሆኖ ጨርሷል። የኒው ዚላንዱ አዳም ሆል በወንዶቹ የቁም ሱፐር-ጂ ሆኖ ጨርሷል።	Arly Velasquez of Mexico finished fifteenth in the men's sitting Super-G. New Zealand's Adam Hall finished ninth in the men's standing Super-G.	Mexico's Arlie Velasz has grown to be the fifth in men's brutal tumulture. The New Zillandu's Adam Holnah Holt has been sold in his men's wings, but it has been added to it.
953	1.80	እባክዎን ቦታውን በሙሉ ተገቢነት፣ እርጋታ እና አክብሮት ይመልከቱ። ስለ እልቂቱ ወይም ናዚዎች አይቀልዱ።	Please treat the site with all of the dignity, solemnity and respect it deserves. Do not make jokes about the Holocaust or Nazis.	Please take a look at the entire location, corresponding, and respectfully.
444	1.96	የብሪታንያ ማንኛውም መርከብ በሰፋፊ የውሃ ክፍሎች ላይ እንዳያልፉ ለማድረግ ኣለም አቀፍ ውሃ አካላትን በቦምብ ጠመደች፣ ይህም ለገለልተኛ መርከቦች እንኳን ሳይቀር አደጋ ነበረው።	Britain mined international waters to prevent any ships from entering entire sections of ocean, causing danger to even neutral ships.	The British ship was destroyed by a bombard to make sure that no ship could pass through the wide water rooms, even for independent vessels.
201	2.00	የአውስትራሊያው ሚቼል ጎርሊ በወንዶቹ የቁም ሱፐር-ጂ ውስጥ አስራ አንደኛ ሆኖ ጨረሰ። የቼክ ተፎካካሪ ኦልድሪች ጄሊኔክ በወንዶቹ ወንበር ሱፐር-ጂ ላይ አስራ ስድስተኛ ሆኖ ጨረሰ።	Australia's Mitchell Gourley finished eleventh in the men's standing Super-G. Czech competitor Oldrich Jelinek finished sixteenth in the men's sitting Super-G.	The Australian Mitchelle Gorilli became one of the 11th in his men, and the Czech contestant Olimer Jelleyt Jelley became the sixth salary to the men.
831	2.01	በሚያስገርም ሁኔታ ግን፣ ከሌሎች ይልቅ መስመሩ ከተዘረጋባቸው ቦታዎች ለምሳሌ ፔንስይልቫኒያ ዋይልድስ ይልቅ እዚህ የሞባይል አገልግሎት የበለጠ ጠንካራ ነው።	Curiously, though, mobile phone service is much stronger here than along many other stretches of the route, e.g. the Pennsylvania Wilds.	Surprisingly, however, the mobile service here is more robust than in places where the line is stretched out than in other areas where the line is stretching, for example Pennsylvania Walls.
295	2.01	በስፖርት ተኳሾች ማህበር የአደን ፕሮግራም በኩል፣ በ NPWS እና በአውስትራሊያ ስፖርት እስኮተርስ ማህበር (NSW) Inc አጋርነት ብቁ ፈቃደኞች ተመልምለው ነበር።	In a partnership of NPWS and the Sporting Shooters Association of Australia (NSW) Inc, qualified volunteers were recruited, under the Sporting Shooters Association's hunting program.	Through the Aden program of the Sport Athletes Association, he recruited the Australian Sports Society of Sport Scotters.
43	2.05	የ802።11n ፍጥነቶች በፊት ከነበረው ከፍተኛ ንድፈ ሀሳባዊ 600 ሜቢ/ሰ ከሆነው እጅግ ይፈጥናል።	The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.	The 802.11 is much more likely to be done if it was the highest liquidistic 600 mb.
