ተማሪዎች መጽሐፍ ያነባሉ።	The students read a book.
ልጁ መስኮቱን ሰበረ።	The boy broke the window.
መስኮቱ ተሰበረ።	The window was broken.
እሱ በሩን ይከፍታል።	He opens the door.
በሩ ክፍት ነው።	The door is open.
እሷ ደብዳቤ ጻፈች።	She wrote a letter.
እኔ ደብዳቤ መጻፍ እፈልጋለሁ።	I want to write a letter.
እነሱ ወደ ከተማ ሄዱ።	They went to the city.
እሱ አልሄደም።	He did not go.
መኪናዎች በመንገድ ላይ ናቸው።	The cars are on the road.
አባቴ ውሃ ወሰደ።	My father took water.
ይህን መጽሐፍ ከቤተ መጻሕፍት ወሰድኩ።	I took this book from the library.
ስለኢትዮጵያ ታሪክ ተማርን።	We learned about the history of Ethiopia.
እንደገና ሞክር።	Try again.
ውሻው ድመቷን ይፈልጋል።	The dog is looking for the cat.
ሙዚቃ መስማት እወዳለሁ።	I like listening to music.
እሱ ዜናውን ሰማ።	He heard the news.
መምህሩ ተማሪውን ነገረው።	The teacher told the student.
እውነቱን መንገር አለብህ።	You must tell the truth.
እኛ በቤት ውስጥ ነን።	We are in the house.
እሱ በሩን መስበር አይችልም።	He cannot break the door.
ይህ ልጅ መስታወት ይሰብራል።	This boy breaks glass.
የሰማይ ቀለም ሰማያዊ ነው።	The color of the sky is blue.
እነሱ ከከተማ መጡ።	They came from the city.
ወደ ቤት መሄድ እፈልጋለሁ።	I want to go home.
እሷ ታሪኩን ትነግራለች።	She tells the story.
አንተ በጣም ጥሩ ተማሪ ነህ።	You are a very good student.
እነሱ መጽሐፉን ወደ ቤት ወሰዱ።	They took the book home.
በከተማ ውስጥ ብዙ መኪናዎች አሉ።	There are many cars in the city.
እኛ ድምፁን ሰማን።	We heard his voice.
